frame_id,capture_mono_ns,recv_mono_ns,save_mono_ns
554,15044787344208,194654634608614,194654635532177
555,15044823830226,194654647520938,194654648571015
556,15044855994439,194654687689269,194654688718876
557,15044887911313,194654721434398,194654722505383
559,15044956189468,194654732630444,194654733687832
561,15045023769456,194654840659618,194654841775913
562,15045055775443,194654845652759,194654846717190
563,15045087904553,194654887583724,194654888732037
564,15045124144690,194654971666744,194654972813504
565,15045155913129,194655004827617,194655005832371
566,15045188208746,194655014347185,194655015350227
567,15045223898736,194655045317127,194655046350129
568,15045254902291,194655058477837,194655059557161
569,15045287803680,194655087610343,194655088583922
570,15045324202877,194655114437942,194655115458016
571,15045354957686,194655162561815,194655163646378
572,15045387918189,194655169386216,194655170305478
573,15045422971782,194655234462984,194655235419145
574,15045456105615,194655245327892,194655246294371
575,15045488081186,194655288555155,194655289488561
576,15045523044260,194655359524893,194655360579677
577,15045555438418,194655362475017,194655363506502
578,15045587951116,194655422690071,194655423804447
579,15045623836206,194655439583736,194655440710217
580,15045655046893,194655452400442,194655453469651
581,15045687043662,194655491553059,194655492744124
582,15045724078733,194655532472183,194655533604878
583,15045755837641,194655560924682,194655561973648
584,15045787850711,194655572017685,194655573043230
585,15045823100760,194655642378257,194655643680122
586,15045855752986,194655652827282,194655653965126
587,15045887855586,194655691508385,194655692656620
588,15045924081608,194655716544188,194655717757670
589,15045955914369,194655767867476,194655768977601
590,15045987938585,194655779137505,194655780039031
591,15046023887268,194655843577131,194655844520421
592,15046055034831,194655848369736,194655849297453
593,15046087103161,194655925811559,194655926760359
594,15046119067326,194656009551524,194656010635891
595,15046155825110,194656018135568,194656019376940
596,15046187078141,194656046630280,194656047693639
597,15046219459226,194656081457809,194656082468344
598,15046255444366,194656083502479,194656084433293
599,15046287483426,194656088406559,194656089291771
600,15046319914458,194656092256838,194656093265695
601,15046355400805,194656163433411,194656164448496
602,15046387897877,194656168346163,194656169350061
603,15046418953723,194656233532163,194656234577468
604,15046455920879,194656285294527,194656286231558
605,15046488096811,194656286383530,194656301309343
606,15046519865250,194656354352158,194656355335296
607,15046555579197,194656369315878,194656370311689
608,15046587853930,194656440405761,194656441316521
609,15046619878198,194656445393817,194656446300912
611,15046687106213,194656518327676,194656519395609
612,15046719855261,194656519208888,194656520036359
613,15046755121403,194656564326898,194656565220579
614,15046787419520,194656571396495,194656572273103
615,15046819097804,194656638397152,194656639324042
616,15046855902619,194656649212714,194656650156654
617,15046887875378,194656688292796,194656689228865
618,15046919912145,194656696505851,194656697382662
619,15046955811037,194656769357282,194656770425189
620,15046988180300,194656770285629,194656771142297
621,15047019805824,194656842422331,194656843453326
622,15047055939244,194656851449829,194656852346918
623,15047086958840,194656898340943,194656899312179
624,15047119829032,194656973530201,194656974502840
625,15047156059273,194656996458579,194656997359297
626,15047187840472,194657000361469,194657001255138
627,15047219850000,194657013313396,194657014238616
628,15047255894255,194657077537303,194657078494241
629,15047288059666,194657092331455,194657093412765
630,15047319904458,194657124514965,194657125562975
631,15047355846839,194657170600246,194657171871466
632,15047387429864,194657195277307,194657196212912
633,15047419508089,194657205429066,194657206375543
634,15047455962024,194657276301323,194657277242391
635,15047487944366,194657286335280,194657287355370
636,15047519805251,194657292262650,194657293243072
637,15047555868776,194657360449285,194657361463232
638,15047586913112,194657400438938,194657401371973
639,15047619754867,194657406427199,194657407410366
640,15047653178382,194657452647886,194657453790415
641,15047687858440,194657485400418,194657486412860
